evaluation_version,sample_id,task_name,instruction,target,source_description,generated_text,generated_claims,supported_claims,contradicted_claims,unsupported_claims,valid_target_facts,covered_target_facts,invalid_target_facts,novel_supported_claims,source_factual_precision,target_recall,novel_supported_claim_rate,unsupported_claim_ratio,contradiction_claim_ratio,contradiction_flag,unsupported_flag,word_count,sentence_count,distinct_2,repetition_rate,duplicate_sentence_rate,instruction_pass,unsupported_examples,contradicted_examples,novel_supported_examples,missed_target_examples,invalid_target_examples,judge_reasoning,client_id,semantic_similarity,bertscore_precision,bertscore_recall,bertscore_f1
grounded_target_v2_async,0,behavioral_summary,"Summarize the client's purchase transaction behavior.

Write a concise natural-language summary of the most distinctive
behavioral patterns. Focus on meaningful relationships and contrasts
rather than listing every available attribute.","The user stands out for their low transaction frequency combined with a propensity for above-average purchase sizes. Notably, while spending is diversified across categories, there is a significant concentration in fast food and cafes, indicating a preference for convenience.","The user stands out for their low transaction frequency combined with a propensity for above-average purchase sizes. Notably, while spending is diversified across categories, there is a significant concentration in fast food and cafes, indicating a preference for convenience.","The most distinctive behavioral patterns reveal a focus on high-frequency transactions in fast food and cafes, while maintaining a diversified spending approach across various categories. This is complemented by occasional spikes in purchase size, indicating variability in their purchasing behavior despite overall low spending intensity.",4,0,3,1,3,0,0,0,0.0,0.0,0.0,0.25,0.75,1,1,45,2,1.0,0.0,0.0,0,The user focuses on high-frequency transactions in fast food and cafes. | The user maintains a diversified spending approach across various categories. | The user has occasional spikes in purchase size.,"The user stands out for their low transaction frequency combined with a propensity for above-average purchase sizes. | There is a significant concentration in fast food and cafes, indicating a preference for convenience.",,"The user stands out for their low transaction frequency combined with a propensity for above-average purchase sizes. | Notably, while spending is diversified across categories, there is a significant concentration in fast food and cafes, indicating a preference for convenience.",,"The generated response contradicts the full client statistics by stating high-frequency transactions instead of low frequency, and it misrepresents the purchase behavior by suggesting variability in purchasing despite low spending intensity.",39022,0.831718921661377,0.4447958767414093,0.5073429346084595,0.4767414629459381
grounded_target_v2_async,1,category_mix_analysis,"Analyze the client's transaction category structure.

Describe the main category by total spending, the most frequent transaction
categories, their approximate shares, and whether the category pattern is
concentrated or diversified.

Clearly distinguish transaction frequency from total spending value.","The main category for spending is chain supermarkets and grocery stores, which dominate the client's transaction activity. The three most frequent categories include chain supermarkets and grocery stores (approximately 25% of transactions), pharmacies (around 10%), and other hotels, such as Airbnb and Booking (also about 10%). The spending pattern is somewhat concentrated, with a clear focus on essential and occasional lodging needs, reflecting a diverse yet targeted approach to spending.","The main category for spending is chain supermarkets and grocery stores, which dominate the client's transaction activity. The three most frequent categories include chain supermarkets and grocery stores (approximately 25% of transactions), pharmacies (around 10%), and other hotels, such as Airbnb and Booking (also about 10%). The spending pattern is somewhat concentrated, with a clear focus on essential and occasional lodging needs, reflecting a diverse yet targeted approach to spending.","The primary category for spending is chain supermarkets and grocery stores, which dominate the total expenditure. The three most frequent transaction categories include pharmacies (approximately 20% of transactions), fast food and cafes (around 15%), and taxi services (about 10%). This pattern indicates a diversified approach to spending across various categories rather than concentration in any single area.",5,1,4,0,5,1,0,0,0.2,0.2,0.0,0.0,0.8,1,0,57,3,1.0,0.0,0.0,0,,Pharmacies (approximately 20% of transactions) | Fast food and cafes (around 15%) | Taxi services (about 10%) | This pattern indicates a diversified approach to spending across various categories rather than concentration in any single area.,,"The primary category for spending is chain supermarkets and grocery stores, which dominate the total expenditure. | The three most frequent transaction categories include chain supermarkets and grocery stores (approximately 25% of transactions), pharmacies (around 10%), and other hotels, such as Airbnb and Booking (also about 10%). | The spending pattern is somewhat concentrated, with a clear focus on essential and occasional lodging needs, reflecting a diverse yet targeted approach to spending.",,"The generated response contains several claims that contradict the full client statistics, particularly regarding the percentages of transaction categories and the overall spending pattern. It fails to accurately reflect the main spending category and the correct distribution of transaction frequencies.",24053,0.9044297933578491,0.5933658480644226,0.5451380610466003,0.5698451995849609
grounded_target_v2_async,2,category_mix_analysis,"Analyze the client's transaction category structure.

Describe the main category by total spending, the most frequent transaction
categories, their approximate shares, and whether the category pattern is
concentrated or diversified.

Clearly distinguish transaction frequency from total spending value.","The main category for spending is chain supermarkets and grocery stores, which constitutes approximately 50% of the individual’s transactions. The next most frequent categories are fast food and cafes at around 20%, followed by phone and mobile service payments at about 10%. This pattern indicates a moderately concentrated spending behavior, primarily focused on essential and convenience categories, with a limited diversity in transaction types.","The main category for spending is chain supermarkets and grocery stores, which constitutes approximately 50% of the individual’s transactions. The next most frequent categories are fast food and cafes at around 20%, followed by phone and mobile service payments at about 10%. This pattern indicates a moderately concentrated spending behavior, primarily focused on essential and convenience categories, with a limited diversity in transaction types.","The primary category for this individual is chain supermarkets and grocery stores, which dominate their total spending. The three most frequent transaction categories include chain supermarkets (approximately 45% of transactions), fast food and cafes (around 10%), and phone and mobile service payments (about 5%). This pattern indicates a concentrated approach to spending, with a strong focus on essential goods while also engaging in occasional high-value purchases.",5,1,3,1,5,2,0,0,0.2,0.4,0.0,0.2,0.6,1,1,66,3,0.9846153846153848,0.0153846153846153,0.0,0,The individual engages in occasional high-value purchases.,Chain supermarkets constitute approximately 45% of transactions (should be 50%). | Fast food and cafes account for around 10% of transactions (should be 20%). | Phone and mobile service payments are about 5% of transactions (should be 10%).,,,,"The generated response contains several inaccuracies regarding the percentages of transaction categories, contradicting the full client statistics. It also fails to fully address the instruction regarding transaction frequency versus total spending.",37357,0.940248966217041,0.619755208492279,0.6355252265930176,0.6282341480255127
grounded_target_v2_async,3,analyst_observations,"Provide exactly three concise observations about the client's transaction behavior.

Each observation must connect at least two behavioral characteristics,
such as activity and spending, transaction frequency and purchase size,
or category frequency and spending concentration.

Do not introduce information that is not supported by the client representation.","1. The individual exhibits a moderate transaction frequency with a spending pattern that leans heavily towards supermarkets, suggesting a focus on grocery needs. 2. High-value purchases are made occasionally, indicating that while average purchase sizes are moderate, there is flexibility for larger expenditures when necessary. 3. The spending concentration in supermarkets, alongside notable transactions in pharmacies, highlights a strategic approach to essential purchases while maintaining some category diversity.","1. The individual exhibits a moderate transaction frequency with a spending pattern that leans heavily towards supermarkets, suggesting a focus on grocery needs. 2. High-value purchases are made occasionally, indicating that while average purchase sizes are moderate, there is flexibility for larger expenditures when necessary. 3. The spending concentration in supermarkets, alongside notable transactions in pharmacies, highlights a strategic approach to essential purchases while maintaining some category diversity.","1. The individual’s high variability in purchase sizes correlates with their frequent transactions at chain supermarkets, suggesting a reliance on essential goods while allowing for occasional splurges. 2. Their spending concentration is primarily within the fast food and grocery categories, indicating a preference for convenience and everyday necessities over diverse purchases. 3. Despite an overall moderate spending level, the presence of highly variable purchases highlights the potential for significant spikes in spending during specific shopping trips.",5,2,1,2,3,2,0,0,0.4,0.6666666666666666,0.0,0.4,0.2,1,1,77,6,1.0,0.0,0.0,0,"The individual’s high variability in purchase sizes correlates with their frequent transactions at chain supermarkets, suggesting a reliance on essential goods while allowing for occasional splurges. | Despite an overall moderate spending level, the presence of highly variable purchases highlights the potential for significant spikes in spending during specific shopping trips.","Their spending concentration is primarily within the fast food and grocery categories, indicating a preference for convenience and everyday necessities over diverse purchases.",,,,"The generated response contains claims that are partially supported by the full client statistics, but also includes contradictions and unsupported inferences, failing to fully adhere to the task instruction.",15510,0.8052974939346313,0.4135124385356903,0.46824759244918823,0.44165024161338806
grounded_target_v2_async,4,analyst_observations,"Provide exactly three concise observations about the client's transaction behavior.

Each observation must connect at least two behavioral characteristics,
such as activity and spending, transaction frequency and purchase size,
or category frequency and spending concentration.

Do not introduce information that is not supported by the client representation.","1. The individual engages in a high frequency of transactions yet maintains a low total spending level, suggesting a preference for small, frequent purchases. 2. The presence of highly variable purchase sizes indicates that while most spending is low, there are occasional large purchases that contribute to total expenditure spikes. 3. A significant concentration of spending in fast food and cafes, alongside notable shares in mobile service and transportation categories, highlights a focused spending behavior across a few key areas.","1. The individual engages in a high frequency of transactions yet maintains a low total spending level, suggesting a preference for small, frequent purchases. 2. The presence of highly variable purchase sizes indicates that while most spending is low, there are occasional large purchases that contribute to total expenditure spikes. 3. A significant concentration of spending in fast food and cafes, alongside notable shares in mobile service and transportation categories, highlights a focused spending behavior across a few key areas.","The individual maintains a diversified spending pattern, with frequent transactions in fast food and mobile services complemented by occasional high-value purchases. Despite being part of the lower-spending group, their variability in purchase sizes suggests that they are willing to spend more on specific occasions. The concentration in categories like transportation and dining reflects a preference for regular, essential expenditures rather than sporadic luxury items.",3,3,0,0,3,3,0,0,1.0,1.0,0.0,0.0,0.0,0,0,64,3,1.0,0.0,0.0,1,,,,,,"All claims in the generated response are supported by the full client statistics, and they accurately reflect the client's transaction behavior without introducing unsupported information.",15088,0.8337276577949524,0.4452430009841919,0.4210646450519562,0.43404701352119446
grounded_target_v2_async,5,analyst_observations,"Provide exactly three concise observations about the client's transaction behavior.

Each observation must connect at least two behavioral characteristics,
such as activity and spending, transaction frequency and purchase size,
or category frequency and spending concentration.

Do not introduce information that is not supported by the client representation.","The client shows a strong focus on clothing as their main spending category while also engaging frequently in food-related transactions, indicating a balanced lifestyle. Their high variability in purchase size suggests a willingness to invest in larger items occasionally, despite a generally moderate spending intensity. The equal distribution of transaction frequency among diverse categories highlights a versatile spending strategy that avoids reliance on any single category.","The client shows a strong focus on clothing as their main spending category while also engaging frequently in food-related transactions, indicating a balanced lifestyle. Their high variability in purchase size suggests a willingness to invest in larger items occasionally, despite a generally moderate spending intensity. The equal distribution of transaction frequency among diverse categories highlights a versatile spending strategy that avoids reliance on any single category.","The combination of high transaction frequency and moderate total spending suggests a consistent engagement with essential purchases. The presence of occasional large purchases indicates a willingness to invest significantly in select items, despite the overall middle-range average purchase size. The diversified category mix, particularly focusing on food-related transactions, reflects a balanced approach to spending across different sectors.",3,3,0,0,5,5,0,0,1.0,1.0,0.0,0.0,0.0,0,0,57,3,1.0,0.0,0.0,1,,,,,,"The generated response accurately reflects the client's transaction behavior as described in the full client statistics, with all claims supported and aligned with the provided data.",47473,0.8245124816894531,0.49941614270210266,0.4446987211704254,0.47277581691741943
grounded_target_v2_async,6,spending_style_analysis,"Analyze the client's spending style.

Explain how total and monthly spending relate to transaction frequency,
average purchase size, purchase-size variability, and high-value purchases.

Write a connected natural-language analysis rather than a list of labels.","Overall spending levels are low, which correlates with below-average purchase sizes and a moderate frequency of transactions. The variability in purchase sizes suggests that while most spending is modest, there are occasional spikes in expenditure that contribute to a mixed spending profile. This pattern indicates a cautious approach to spending, punctuated by select high-value purchases.","Overall spending levels are low, which correlates with below-average purchase sizes and a moderate frequency of transactions. The variability in purchase sizes suggests that while most spending is modest, there are occasional spikes in expenditure that contribute to a mixed spending profile. This pattern indicates a cautious approach to spending, punctuated by select high-value purchases.","The relationship between total and monthly spending reveals a consistent pattern of low expenditure intensity, which is reflected in the below-average purchase sizes. Despite this, the high variability in purchase size suggests that while most transactions are small, there are sporadic instances of larger purchases that significantly impact overall spending behavior. This combination indicates a balanced approach to spending, with occasional splurges on essential goods or services.",5,5,0,0,5,5,0,0,1.0,1.0,0.0,0.0,0.0,0,0,67,3,1.0,0.0,0.0,1,,,,,,"The generated response accurately reflects the full client statistics, discussing low spending levels, below-average purchase sizes, variability in purchase sizes, and occasional high-value purchases. All claims are supported, and the response fulfills the task requirements.",15107,0.8080676794052124,0.5331171154975891,0.5953683257102966,0.5647762417793274
grounded_target_v2_async,7,analyst_observations,"Provide exactly three concise observations about the client's transaction behavior.

Each observation must connect at least two behavioral characteristics,
such as activity and spending, transaction frequency and purchase size,
or category frequency and spending concentration.

Do not introduce information that is not supported by the client representation.","1. The individual engages in high-frequency transactions, particularly in fast food and cafes, while also maintaining a strong overall spending intensity in supermarkets. 2. Their above-average purchase sizes combined with high variability suggest a flexible approach to spending, allowing for both regular small purchases and occasional large expenditures. 3. The diverse category mix indicates a balanced spending strategy, with a significant portion of transactions in fast food and cafes contrasting with their larger total spending in grocery stores.","1. The individual engages in high-frequency transactions, particularly in fast food and cafes, while also maintaining a strong overall spending intensity in supermarkets. 2. Their above-average purchase sizes combined with high variability suggest a flexible approach to spending, allowing for both regular small purchases and occasional large expenditures. 3. The diverse category mix indicates a balanced spending strategy, with a significant portion of transactions in fast food and cafes contrasting with their larger total spending in grocery stores.","High transaction frequency is coupled with above-average purchase sizes, indicating a tendency to make regular yet substantial purchases. The individual’s diverse spending across various categories suggests a broad financial strategy rather than specialization in any one area. Despite high total spending, the occasional large purchases highlight a willingness to invest significantly when necessary.",3,2,0,1,3,3,0,0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0,1,54,3,1.0,0.0,0.0,1,The individual’s diverse spending across various categories suggests a broad financial strategy rather than specialization in any one area.,,,,,"The generated response accurately reflects the client's transaction behavior as per the full client statistics, with one unsupported claim regarding the financial strategy.",7909,0.72479248046875,0.43186846375465393,0.34304046630859375,0.38807767629623413
grounded_target_v2_async,8,analyst_observations,"Provide exactly three concise observations about the client's transaction behavior.

Each observation must connect at least two behavioral characteristics,
such as activity and spending, transaction frequency and purchase size,
or category frequency and spending concentration.

Do not introduce information that is not supported by the client representation.","The individual demonstrates a high level of purchase-size variability, indicating a mix of regular spending and occasional high-value purchases. Despite a middle range of total spending, the presence of above-average purchase sizes suggests a willingness to invest in specific items. The diversified category engagement, particularly in clothing and food-related transactions, reflects a balanced approach to spending across different needs.","The individual demonstrates a high level of purchase-size variability, indicating a mix of regular spending and occasional high-value purchases. Despite a middle range of total spending, the presence of above-average purchase sizes suggests a willingness to invest in specific items. The diversified category engagement, particularly in clothing and food-related transactions, reflects a balanced approach to spending across different needs.","1. The individual demonstrates a high level of spending intensity across multiple categories, with significant engagement in both grocery and dining activities, reflecting a broad financial commitment.
2. A combination of frequent transactions in essential services like chain supermarkets and fast food establishments, alongside occasional high-value purchases, suggests a strategic approach to managing overall expenses.
3. The diversified category mix, including restaurants and cafes, highlights a flexible spending strategy that accommodates various lifestyle needs while maintaining consistent transaction frequency.",3,2,0,1,3,3,0,0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0,1,79,6,1.0,0.0,0.0,1,"The individual demonstrates a high level of spending intensity across multiple categories, with significant engagement in both grocery and dining activities, reflecting a broad financial commitment.",,,,,"The generated claims are mostly supported by the full client statistics, but the first claim introduces unsupported information about 'spending intensity' and 'significant engagement' in grocery and dining activities, which is not explicitly stated in the full statistics.",14468,0.7464872002601624,0.4189920127391815,0.5054869651794434,0.4627689719200134
grounded_target_v2_async,9,financial_profile,"Describe the client's overall purchase transaction behavior.

Write a coherent behavioral profile connecting transaction activity,
spending intensity, purchase-size behavior, high-value purchases,
and category usage.

Mention the main category by total spending and recurring categories
by transaction frequency when this information is supported.","The observed financial behavior indicates a strong focus on chain supermarkets and grocery stores, which account for nearly 45% of all transactions. Spending intensity is high, both in total and on a monthly basis, with above-average purchase sizes suggesting a tendency for larger transactions. The individual shows a moderate level of variability in purchase sizes and engages in occasional high-value purchases, while also maintaining a diverse range of spending across various categories, including gas stations and phone service payments.","The observed financial behavior indicates a strong focus on chain supermarkets and grocery stores, which account for nearly 45% of all transactions. Spending intensity is high, both in total and on a monthly basis, with above-average purchase sizes suggesting a tendency for larger transactions. The individual shows a moderate level of variability in purchase sizes and engages in occasional high-value purchases, while also maintaining a diverse range of spending across various categories, including gas stations and phone service payments.","This individual exhibits a high level of spending intensity with a strong focus on chain supermarkets and grocery stores, which account for about 45% of their transactions. Their total spending is in the top tier, indicating significant commitment to this category, while also showing above-average purchase sizes that contribute to a moderate monthly spending pattern. Additionally, they demonstrate a somewhat variable purchase size, occasionally making unusually large purchases alongside more typical smaller transactions. The spending behavior reveals a diverse mix of categories, including vehicle maintenance and gas stations, reflecting both everyday needs and occasional splurges.",7,6,0,1,6,6,0,0,0.8571428571428571,1.0,0.0,0.1428571428571428,0.0,0,1,95,4,1.0,0.0,0.0,1,"The spending behavior reveals a diverse mix of categories, including vehicle maintenance.",,,,,"The generated response accurately reflects the client's purchase behavior as per the full client statistics, with one unsupported claim regarding vehicle maintenance.",1833,0.9204500913619995,0.5389207005500793,0.5871120691299438,0.5636217594146729
