evaluation_version,sample_id,task_name,instruction,target,source_description,generated_text,generated_claims,supported_claims,contradicted_claims,unsupported_claims,valid_target_facts,covered_target_facts,invalid_target_facts,novel_supported_claims,source_factual_precision,target_recall,novel_supported_claim_rate,unsupported_claim_ratio,contradiction_claim_ratio,contradiction_flag,unsupported_flag,word_count,sentence_count,distinct_2,repetition_rate,duplicate_sentence_rate,instruction_pass,unsupported_examples,contradicted_examples,novel_supported_examples,missed_target_examples,invalid_target_examples,judge_reasoning,client_id,semantic_similarity,bertscore_precision,bertscore_recall,bertscore_f1
grounded_target_v2_async,0,behavioral_summary,"Summarize the client's purchase transaction behavior.

Write a concise natural-language summary of the most distinctive
behavioral patterns. Focus on meaningful relationships and contrasts
rather than listing every available attribute.","The user stands out for their low transaction frequency combined with a propensity for above-average purchase sizes. Notably, while spending is diversified across categories, there is a significant concentration in fast food and cafes, indicating a preference for convenience.","The user stands out for their low transaction frequency combined with a propensity for above-average purchase sizes. Notably, while spending is diversified across categories, there is a significant concentration in fast food and cafes, indicating a preference for convenience.","The most distinctive aspect of this individual's spending behavior is their high frequency of transactions in fast food and cafes, which contrasts with their low overall transaction volume. Despite being in the middle range for both total and monthly spending, they exhibit a pattern of occasional large purchases that significantly impact their average purchase size.",4,0,2,2,3,0,0,0,0.0,0.0,0.0,0.5,0.5,1,1,55,2,1.0,0.0,0.0,0,The individual has a high frequency of transactions in fast food and cafes. | They are in the middle range for both total and monthly spending.,They exhibit a pattern of occasional large purchases that significantly impact their average purchase size. | The individual has a high frequency of transactions in fast food and cafes.,,The user stands out for their low transaction frequency combined with a propensity for above-average purchase sizes. | Spending is diversified across categories.,,"The generated response contains contradictions regarding transaction frequency and inaccurately describes the spending behavior, failing to align with the full client statistics.",39022,0.8356157541275024,0.38943061232566833,0.44048020243644714,0.4157853424549103
grounded_target_v2_async,1,category_mix_analysis,"Analyze the client's transaction category structure.

Describe the main category by total spending, the most frequent transaction
categories, their approximate shares, and whether the category pattern is
concentrated or diversified.

Clearly distinguish transaction frequency from total spending value.","The main category for spending is chain supermarkets and grocery stores, which dominate the client's transaction activity. The three most frequent categories include chain supermarkets and grocery stores (approximately 25% of transactions), pharmacies (around 10%), and other hotels, such as Airbnb and Booking (also about 10%). The spending pattern is somewhat concentrated, with a clear focus on essential and occasional lodging needs, reflecting a diverse yet targeted approach to spending.","The main category for spending is chain supermarkets and grocery stores, which dominate the client's transaction activity. The three most frequent categories include chain supermarkets and grocery stores (approximately 25% of transactions), pharmacies (around 10%), and other hotels, such as Airbnb and Booking (also about 10%). The spending pattern is somewhat concentrated, with a clear focus on essential and occasional lodging needs, reflecting a diverse yet targeted approach to spending.","The main category by total spending is chain supermarkets and grocery stores, which represents about 25% of the transactions. The three most frequent transaction categories include pharmacies at approximately 15%, chain supermarkets and grocery stores, and fast food and cafes at around 10%. This pattern indicates a diverse approach to spending across various categories, rather than a concentrated focus on any single area.",5,1,3,1,5,3,0,0,0.2,0.6,0.0,0.2,0.6,1,1,63,3,0.9354838709677419,0.06451612903225812,0.0,0,Pharmacies at approximately 15% | Fast food and cafes at around 10%,Chain supermarkets and grocery stores represent about 25% of the transactions (should be spending) | Three most frequent transaction categories include pharmacies at approximately 15% (should be around 10%) | Diverse approach to spending across various categories (should indicate concentration),,,,"The generated response contains several inaccuracies regarding the percentages of transaction categories and misrepresents the concentration of spending, failing to meet the task requirements.",24053,0.906940221786499,0.5853888392448425,0.5030809640884399,0.544664740562439
grounded_target_v2_async,2,category_mix_analysis,"Analyze the client's transaction category structure.

Describe the main category by total spending, the most frequent transaction
categories, their approximate shares, and whether the category pattern is
concentrated or diversified.

Clearly distinguish transaction frequency from total spending value.","The main category for spending is chain supermarkets and grocery stores, which constitutes approximately 50% of the individual’s transactions. The next most frequent categories are fast food and cafes at around 20%, followed by phone and mobile service payments at about 10%. This pattern indicates a moderately concentrated spending behavior, primarily focused on essential and convenience categories, with a limited diversity in transaction types.","The main category for spending is chain supermarkets and grocery stores, which constitutes approximately 50% of the individual’s transactions. The next most frequent categories are fast food and cafes at around 20%, followed by phone and mobile service payments at about 10%. This pattern indicates a moderately concentrated spending behavior, primarily focused on essential and convenience categories, with a limited diversity in transaction types.","The primary category for this individual's spending is chain supermarkets and grocery stores, which dominate their transaction activity. The three most frequent categories include chain supermarkets and grocery stores (approximately 45% of transactions), fast food and cafes (about 20%), and phone and mobile service payments (around 10%). This pattern indicates a concentrated approach to spending, with a significant portion of their transactions focused on essential services rather than diverse categories.",4,3,1,0,5,4,0,0,0.75,0.8,0.0,0.0,0.25,1,0,70,3,0.9420289855072463,0.05797101449275366,0.0,1,,The three most frequent categories include chain supermarkets and grocery stores (approximately 45% of transactions),,,,"The generated response correctly identifies the main spending category and the approximate shares of the other categories, but it inaccurately states the percentage of transactions for chain supermarkets and grocery stores as 45% instead of 50%. The overall structure and focus on essential services are consistent with the task instruction.",37357,0.9505711793899536,0.6575030088424683,0.6544402837753296,0.6565302014350891
grounded_target_v2_async,3,analyst_observations,"Provide exactly three concise observations about the client's transaction behavior.

Each observation must connect at least two behavioral characteristics,
such as activity and spending, transaction frequency and purchase size,
or category frequency and spending concentration.

Do not introduce information that is not supported by the client representation.","1. The individual exhibits a moderate transaction frequency with a spending pattern that leans heavily towards supermarkets, suggesting a focus on grocery needs. 2. High-value purchases are made occasionally, indicating that while average purchase sizes are moderate, there is flexibility for larger expenditures when necessary. 3. The spending concentration in supermarkets, alongside notable transactions in pharmacies, highlights a strategic approach to essential purchases while maintaining some category diversity.","1. The individual exhibits a moderate transaction frequency with a spending pattern that leans heavily towards supermarkets, suggesting a focus on grocery needs. 2. High-value purchases are made occasionally, indicating that while average purchase sizes are moderate, there is flexibility for larger expenditures when necessary. 3. The spending concentration in supermarkets, alongside notable transactions in pharmacies, highlights a strategic approach to essential purchases while maintaining some category diversity.","1. The individual shows a moderate total spending level, with occasional high-value purchases that contribute to variability in average purchase size. 2. Despite a diversified spending pattern across categories, the higher-than-average monthly spending suggests an inclination towards larger transactions at supermarkets. 3. Frequent transactions in chain stores indicate a consistent shopping habit, while lower frequency in pharmacies and fast food indicates a more selective approach to purchasing.",4,2,1,1,3,3,0,0,0.5,1.0,0.0,0.25,0.25,1,1,67,6,1.0,0.0,0.0,1,"The individual shows a moderate total spending level, with occasional high-value purchases that contribute to variability in average purchase size. | Despite a diversified spending pattern across categories, the higher-than-average monthly spending suggests an inclination towards larger transactions at supermarkets.","Frequent transactions in chain stores indicate a consistent shopping habit, while lower frequency in pharmacies and fast food indicates a more selective approach to purchasing.",,,,"The generated claims were evaluated against the full client statistics. Two claims were supported, one was contradicted, and one was unsupported. All valid target facts were covered.",15510,0.8602955937385559,0.4810402989387512,0.49999362230300903,0.4913284480571747
grounded_target_v2_async,4,analyst_observations,"Provide exactly three concise observations about the client's transaction behavior.

Each observation must connect at least two behavioral characteristics,
such as activity and spending, transaction frequency and purchase size,
or category frequency and spending concentration.

Do not introduce information that is not supported by the client representation.","1. The individual engages in a high frequency of transactions yet maintains a low total spending level, suggesting a preference for small, frequent purchases. 2. The presence of highly variable purchase sizes indicates that while most spending is low, there are occasional large purchases that contribute to total expenditure spikes. 3. A significant concentration of spending in fast food and cafes, alongside notable shares in mobile service and transportation categories, highlights a focused spending behavior across a few key areas.","1. The individual engages in a high frequency of transactions yet maintains a low total spending level, suggesting a preference for small, frequent purchases. 2. The presence of highly variable purchase sizes indicates that while most spending is low, there are occasional large purchases that contribute to total expenditure spikes. 3. A significant concentration of spending in fast food and cafes, alongside notable shares in mobile service and transportation categories, highlights a focused spending behavior across a few key areas.","The individual exhibits a high variability in purchase sizes, suggesting that while they maintain a low total spending level, they occasionally make larger purchases. Their frequent transactions across various categories indicate a diverse spending approach, with notable activity in fast food and mobile services. The combination of below-average average purchase size and occasional high-value purchases highlights a strategic approach to managing their financial commitments.",5,4,0,1,3,3,0,1,0.8,1.0,0.2,0.2,0.0,0,1,64,3,1.0,0.0,0.0,1,"The individual exhibits a high variability in purchase sizes, suggesting that while they maintain a low total spending level, they occasionally make larger purchases.",,The combination of below-average average purchase size and occasional high-value purchases highlights a strategic approach to managing their financial commitments.,,,"The generated response accurately reflects the client's transaction behavior based on the full client statistics, with one unsupported inference about the individual's financial strategy.",15088,0.8169534206390381,0.5277917385101318,0.4544473886489868,0.4916975200176239
grounded_target_v2_async,5,analyst_observations,"Provide exactly three concise observations about the client's transaction behavior.

Each observation must connect at least two behavioral characteristics,
such as activity and spending, transaction frequency and purchase size,
or category frequency and spending concentration.

Do not introduce information that is not supported by the client representation.","The client shows a strong focus on clothing as their main spending category while also engaging frequently in food-related transactions, indicating a balanced lifestyle. Their high variability in purchase size suggests a willingness to invest in larger items occasionally, despite a generally moderate spending intensity. The equal distribution of transaction frequency among diverse categories highlights a versatile spending strategy that avoids reliance on any single category.","The client shows a strong focus on clothing as their main spending category while also engaging frequently in food-related transactions, indicating a balanced lifestyle. Their high variability in purchase size suggests a willingness to invest in larger items occasionally, despite a generally moderate spending intensity. The equal distribution of transaction frequency among diverse categories highlights a versatile spending strategy that avoids reliance on any single category.","1. The individual shows a strong correlation between high transaction frequency and above-average purchase sizes, suggesting a preference for frequent but substantial spending. 2. A diversified category mix is evident in their transactions, with significant expenditure in grocery-related categories, indicating varied purchasing habits. 3. The variability in purchase size, despite a middle range of total spending, highlights the flexibility in how they manage their financial commitments across different areas.",3,0,2,1,4,3,0,0,0.0,0.75,0.0,0.3333333333333333,0.6666666666666666,1,1,69,6,1.0,0.0,0.0,0,"The individual shows a strong correlation between high transaction frequency and above-average purchase sizes, suggesting a preference for frequent but substantial spending. | The variability in purchase size, despite a middle range of total spending, highlights the flexibility in how they manage their financial commitments across different areas.","A diversified category mix is evident in their transactions, with significant expenditure in grocery-related categories, indicating varied purchasing habits.",,,,"The generated claims contain contradictions and unsupported assertions compared to the full client statistics, and the response does not fully adhere to the instruction to connect at least two behavioral characteristics in each observation.",47473,0.8183083534240723,0.42544296383857727,0.40118852257728577,0.41424062848091125
grounded_target_v2_async,6,spending_style_analysis,"Analyze the client's spending style.

Explain how total and monthly spending relate to transaction frequency,
average purchase size, purchase-size variability, and high-value purchases.

Write a connected natural-language analysis rather than a list of labels.","Overall spending levels are low, which correlates with below-average purchase sizes and a moderate frequency of transactions. The variability in purchase sizes suggests that while most spending is modest, there are occasional spikes in expenditure that contribute to a mixed spending profile. This pattern indicates a cautious approach to spending, punctuated by select high-value purchases.","Overall spending levels are low, which correlates with below-average purchase sizes and a moderate frequency of transactions. The variability in purchase sizes suggests that while most spending is modest, there are occasional spikes in expenditure that contribute to a mixed spending profile. This pattern indicates a cautious approach to spending, punctuated by select high-value purchases.","The relationship between total and monthly spending is marked by low intensity, reflecting a pattern of infrequent transactions. While the average purchase size remains below average, the high variability in purchase sizes suggests that when larger purchases do occur, they significantly impact overall expenditure. This combination indicates a cautious approach to spending, with occasional bursts of higher-value purchases disrupting the otherwise steady financial behavior.",5,5,0,0,5,5,0,0,1.0,1.0,0.0,0.0,0.0,0,0,64,3,1.0,0.0,0.0,1,,,,,,"The generated response accurately reflects the full client statistics, discussing low overall spending, below-average purchase sizes, moderate transaction frequency, and variability in purchase sizes. It also correctly identifies the cautious spending approach and occasional high-value purchases, aligning with the teacher target.",15107,0.848625898361206,0.4879674017429352,0.5557296276092529,0.5224165916442871
grounded_target_v2_async,7,analyst_observations,"Provide exactly three concise observations about the client's transaction behavior.

Each observation must connect at least two behavioral characteristics,
such as activity and spending, transaction frequency and purchase size,
or category frequency and spending concentration.

Do not introduce information that is not supported by the client representation.","1. The individual engages in high-frequency transactions, particularly in fast food and cafes, while also maintaining a strong overall spending intensity in supermarkets. 2. Their above-average purchase sizes combined with high variability suggest a flexible approach to spending, allowing for both regular small purchases and occasional large expenditures. 3. The diverse category mix indicates a balanced spending strategy, with a significant portion of transactions in fast food and cafes contrasting with their larger total spending in grocery stores.","1. The individual engages in high-frequency transactions, particularly in fast food and cafes, while also maintaining a strong overall spending intensity in supermarkets. 2. Their above-average purchase sizes combined with high variability suggest a flexible approach to spending, allowing for both regular small purchases and occasional large expenditures. 3. The diverse category mix indicates a balanced spending strategy, with a significant portion of transactions in fast food and cafes contrasting with their larger total spending in grocery stores.","The individual's high transaction frequency correlates with a tendency for larger purchases, suggesting strategic spending on essential items. Their diverse category engagement indicates a balanced approach to everyday needs and discretionary expenses. Despite the frequent fast food transactions, the presence of significant metrology in total spending reflects a willingness to invest in both regular and occasional luxury experiences.",5,2,0,3,3,2,0,0,0.4,0.6666666666666666,0.0,0.6,0.0,0,1,58,3,1.0,0.0,0.0,0,suggesting strategic spending on essential items | reflects a willingness to invest in both regular and occasional luxury experiences,,,Their high transaction frequency correlates with a tendency for larger purchases | Their diverse category engagement indicates a balanced approach to everyday needs and discretionary expenses.,,"The generated response contains unsupported claims about strategic spending and luxury experiences, and it fails to fully address the task by not connecting all required characteristics.",7909,0.8322638273239136,0.44849610328674316,0.3816601037979126,0.41581854224205017
grounded_target_v2_async,8,analyst_observations,"Provide exactly three concise observations about the client's transaction behavior.

Each observation must connect at least two behavioral characteristics,
such as activity and spending, transaction frequency and purchase size,
or category frequency and spending concentration.

Do not introduce information that is not supported by the client representation.","The individual demonstrates a high level of purchase-size variability, indicating a mix of regular spending and occasional high-value purchases. Despite a middle range of total spending, the presence of above-average purchase sizes suggests a willingness to invest in specific items. The diversified category engagement, particularly in clothing and food-related transactions, reflects a balanced approach to spending across different needs.","The individual demonstrates a high level of purchase-size variability, indicating a mix of regular spending and occasional high-value purchases. Despite a middle range of total spending, the presence of above-average purchase sizes suggests a willingness to invest in specific items. The diversified category engagement, particularly in clothing and food-related transactions, reflects a balanced approach to spending across different needs.","1. The individual’s high total spending level is complemented by a middle-range average purchase size, indicating a blend of regular smaller purchases and occasional large expenditures. 2. Frequent transactions in grocery stores and vehicle maintenance reflect a diversified spending strategy, contrasting with the significant share of dining out expenses. 3. The combination of above-average purchase sizes and variability suggests that while most transactions are moderate, there are moments of substantial spending that impact overall financial behavior.",4,2,1,1,3,3,0,0,0.5,1.0,0.0,0.25,0.25,1,1,77,6,1.0,0.0,0.0,1,The individual’s high total spending level is complemented by a middle-range average purchase size.,"Frequent transactions in grocery stores and vehicle maintenance reflect a diversified spending strategy, contrasting with the significant share of dining out expenses.",,,,"The generated response contains claims that are partially supported by the full client statistics, but also includes contradictions and unsupported assertions.",14468,0.7425401210784912,0.3848821222782135,0.47852858901023865,0.4322225749492645
grounded_target_v2_async,9,financial_profile,"Describe the client's overall purchase transaction behavior.

Write a coherent behavioral profile connecting transaction activity,
spending intensity, purchase-size behavior, high-value purchases,
and category usage.

Mention the main category by total spending and recurring categories
by transaction frequency when this information is supported.","The observed financial behavior indicates a strong focus on chain supermarkets and grocery stores, which account for nearly 45% of all transactions. Spending intensity is high, both in total and on a monthly basis, with above-average purchase sizes suggesting a tendency for larger transactions. The individual shows a moderate level of variability in purchase sizes and engages in occasional high-value purchases, while also maintaining a diverse range of spending across various categories, including gas stations and phone service payments.","The observed financial behavior indicates a strong focus on chain supermarkets and grocery stores, which account for nearly 45% of all transactions. Spending intensity is high, both in total and on a monthly basis, with above-average purchase sizes suggesting a tendency for larger transactions. The individual shows a moderate level of variability in purchase sizes and engages in occasional high-value purchases, while also maintaining a diverse range of spending across various categories, including gas stations and phone service payments.","This individual exhibits a high level of spending intensity, with top total and monthly expenditures indicating significant financial activity. Their average purchase size is above average, reflecting a tendency to make larger purchases occasionally. The primary category for their spending is chain supermarkets and grocery stores, which accounts for about 35% of their transactions. Additionally, they engage in frequent purchases from gas stations and vehicle maintenance shops, contributing to their overall transaction frequency. Despite the variability in purchase sizes, there are notable instances of higher-value purchases that contribute to their overall spending profile.",7,5,1,1,5,5,0,0,0.7142857142857143,1.0,0.0,0.14285714285714285,0.14285714285714285,1,1,93,5,0.9782608695652174,0.021739130434782594,0.0,1,"The individual shows a high level of spending intensity, with top total and monthly expenditures indicating significant financial activity.","The primary category for their spending is chain supermarkets and grocery stores, which accounts for about 35% of their transactions.",,,,"The generated response contains mostly supported claims but incorrectly states the percentage of transactions for chain supermarkets and grocery stores, which is contradicted by the full client statistics.",1833,0.9146019816398621,0.5023465752601624,0.514258623123169,0.509095311164856
